year,estimated,overall
1997,310000000,NaN
1998,290000000,NaN
1999,280000000,NaN
2000,265000000,NaN
2001,272500000,NaN
2002,315000000,NaN
2003,375000000,310600000
2004,450000000,328250000
2005,512500000,352330000
2006,607500000,395550000
2007,680000000,430000000
2008,695000000,436600000
2009,675000000,428000000
2010,675000000,419000000
2011,690000000,414000000
2012,735000000,474610000
2013,780000000,517660000
2014,835000000,540380000
2015,940000000,579120000
2016,995000000,580910000
2017,925000000,522250000
2018,995000000,516590000
2019,1120000000,528110000
2020,1120000000,440000000
2021,1905000000,705000000